annee,mois,temperature
2008,1,9.400000000000034
2008,2,10.800000000000011
2008,3,10.0
2008,4,13.100000000000026
2008,5,19.5
2008,6,20.70000000000005
2008,7,23.0
2008,8,22.05000000000001
2008,9,18.400000000000034
2008,10,15.700000000000045
2008,11,10.800000000000011
2008,12,6.5
2009,1,5.600000000000024
2009,2,7.800000000000013
2009,3,11.100000000000025
2009,4,14.800000000000011
2009,5,19.100000000000023
2009,6,22.100000000000023
2009,7,23.400000000000034
2009,8,25.300000000000008
2009,9,20.900000000000034
2009,10,16.5
2009,11,12.900000000000036
2009,12,7.800000000000013
2010,1,4.100000000000024
2010,2,7.5
2010,3,10.700000000000044
2010,4,15.300000000000011
2010,5,15.900000000000036
2010,6,21.20000000000005
2010,7,25.300000000000008
2010,8,22.200000000000053
2010,9,20.0
2010,10,15.400000000000036
2010,11,10.200000000000044
2010,12,4.300000000000011
2011,1,7.0
2011,2,9.700000000000044
2011,3,12.400000000000036
2011,4,18.30000000000001
2011,5,20.400000000000034
2011,6,20.400000000000034
2011,7,21.100000000000023
2011,8,23.400000000000034
2011,9,22.400000000000034
2011,10,17.100000000000026
2011,11,14.0
2011,12,9.800000000000011
2012,1,8.800000000000011
2012,2,5.900000000000035
2012,3,14.100000000000026
2012,4,12.200000000000045
2012,5,18.0
2012,6,20.70000000000005
2012,7,21.800000000000008
2012,8,25.0
2012,9,20.0
2012,10,16.300000000000008
2012,11,11.100000000000025
2012,12,9.200000000000044
2013,1,6.600000000000023
2013,2,5.650000000000034
2013,3,9.350000000000023
2013,4,13.0
2013,5,14.450000000000017
2013,6,19.20000000000005
2013,7,26.5
2013,8,23.700000000000053
2013,9,20.30000000000001
2013,10,18.0
2013,11,9.400000000000034
2013,12,9.0
2014,1,9.5
2014,2,9.5
2014,3,13.0
2014,4,15.800000000000011
2014,5,17.100000000000026
2014,6,22.5
2014,7,23.100000000000023
2014,8,21.100000000000023
2014,9,22.400000000000034
2014,10,18.70000000000005
2014,11,13.200000000000045
2014,12,8.400000000000034
2015,1,7.5
2015,2,7.2000000000000455
2015,3,11.400000000000036
2015,4,16.0
2015,5,17.900000000000034
2015,6,22.900000000000034
2015,7,25.700000000000053
2015,8,24.5
2015,9,18.600000000000023
2015,10,15.400000000000036
2015,11,14.400000000000036
2015,12,12.5
2016,1,9.0
2016,2,9.150000000000034
2016,3,10.100000000000025
2016,4,13.5
2016,5,17.400000000000034
2016,6,20.100000000000023
2016,7,24.200000000000053
2016,8,25.05000000000001
2016,9,22.900000000000034
2016,10,15.200000000000045
2016,11,10.900000000000034
2016,12,8.900000000000034
2017,1,5.400000000000035
2017,2,10.600000000000025
2017,3,13.400000000000036
2017,4,15.0
2017,5,19.30000000000001
2017,6,24.300000000000008
2017,7,23.600000000000023
2017,8,24.300000000000008
2017,9,18.900000000000034
2017,10,17.80000000000001
2017,11,10.900000000000034
2017,12,7.7000000000000455
2018,1,9.700000000000044
2018,2,5.100000000000024
2018,3,10.600000000000025
2018,4,16.0
2018,5,19.350000000000023
2018,6,22.700000000000053
2018,7,27.100000000000023
2018,8,25.400000000000034
2018,9,23.200000000000053
2018,10,17.80000000000001
2018,11,12.100000000000026
2018,12,10.100000000000025
2019,1,6.5
2019,2,11.900000000000036
2019,3,12.600000000000026
2019,4,14.400000000000036
2019,5,16.800000000000008
2019,6,22.600000000000023
2019,7,26.100000000000023
2019,8,25.400000000000034
2019,9,21.100000000000023
2019,10,21.0
