,station,annee,mois_max_temperature,max_temperature,mois_max_temperature.1,min_temperature,mois_max_precipitations,max_precipitations,mois_max_precipitations.1,min_precipitations,jours_haute_chaleur,Unnamed: 0,Nom,Latitude,Longitude,Altitude,metropole
61,7020,2009,8,18.600000000000023,1,7.2000000000000455,,,,,0.0,2,PTE DE LA HAGUE,49.725167,-1.939833,6,1
62,7020,2010,7,18.400000000000034,12,5.800000000000013,,,,,0.0,2,PTE DE LA HAGUE,49.725167,-1.939833,6,1
63,7020,2011,9,17.650000000000006,1,7.5,,,,,0.0,2,PTE DE LA HAGUE,49.725167,-1.939833,6,1
64,7020,2012,8,18.5,2,8.550000000000011,,,,,0.0,2,PTE DE LA HAGUE,49.725167,-1.939833,6,1
65,7020,2013,8,18.80000000000001,3,6.25,,,,,0.0,2,PTE DE LA HAGUE,49.725167,-1.939833,6,1
66,7020,2014,9,19.0,2,9.100000000000025,12.0,0.6,12.0,0.6,0.0,2,PTE DE LA HAGUE,49.725167,-1.939833,6,1
67,7020,2015,8,18.0,2,7.300000000000013,1.0,1.1,4.0,0.0,0.0,2,PTE DE LA HAGUE,49.725167,-1.939833,6,1
68,7020,2016,8,18.80000000000004,2,8.5,1.0,2.0,3.0,0.0,0.0,2,PTE DE LA HAGUE,49.725167,-1.939833,6,1
69,7020,2017,8,18.5,1,8.950000000000017,12.0,0.8,1.0,0.0,0.0,2,PTE DE LA HAGUE,49.725167,-1.939833,6,1
70,7020,2018,7,19.400000000000006,2,7.200000000000018,1.0,2.6,5.0,0.0,0.0,2,PTE DE LA HAGUE,49.725167,-1.939833,6,1
71,7020,2019,8,19.20000000000005,1,7.400000000000035,10.0,7.4,1.0,0.0,0.0,2,PTE DE LA HAGUE,49.725167,-1.939833,6,1
72,7027,1996,8,20.70000000000005,12,4.5,,,,,0.0,3,CAEN-CARPIQUET,49.18,-0.456167,67,1
73,7027,1997,8,25.200000000000053,1,4.0,,,,,0.0,3,CAEN-CARPIQUET,49.18,-0.456167,67,1
74,7027,1998,8,21.150000000000034,12,7.890000000000043,,,,,1.0,3,CAEN-CARPIQUET,49.18,-0.456167,67,1
75,7027,1999,7,22.800000000000008,12,7.800000000000013,,,,,0.0,3,CAEN-CARPIQUET,49.18,-0.456167,67,1
76,7027,2000,8,21.30000000000001,1,6.800000000000013,,,,,1.0,3,CAEN-CARPIQUET,49.18,-0.456167,67,1
77,7027,2001,8,21.400000000000034,12,5.300000000000012,,,,,2.0,3,CAEN-CARPIQUET,49.18,-0.456167,67,1
78,7027,2002,7,19.900000000000034,1,8.800000000000011,,,,,0.0,3,CAEN-CARPIQUET,49.18,-0.456167,67,1
79,7027,2003,8,24.0,12,7.0,,,,,5.0,3,CAEN-CARPIQUET,49.18,-0.456167,67,1
